time_index,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,residential_percent_change_from_baseline,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
144,0.023735786,0.161294133,,0.016796148,0.026792317,0.01261509
145,0.017125927,0.063916019,,0.013716945,0.022530553,0.004458895
146,0.01705208,0.044095012,,0.014114019,inf,0.00462959
147,0.018365418,0.047969809,,0.013619423,0.055591782,0.004536675
148,0.017579949,0.041546703,,0.01348552,0.03555104,0.004443113
149,0.017265652,0.045252619,,0.013692744,0.028195586,0.004271345
150,0.017318253,0.042574721,,0.013463436,0.028315279,0.004128539
151,0.017746918,0.046719498,,0.013982274,0.027957756,0.003944743
152,0.019749114,0.05149646,,0.016633213,0.028563208,0.003805707
153,0.014500921,0.052172492,,0.013390393,0.021862194,0.003571654
154,0.014275456,0.042585366,,0.012251194,0.020221563,0.003346329
155,0.012946223,0.049539047,,0.011131067,0.020803576,0.003121046
156,0.012551182,inf,,0.010058876,0.02447034,0.00289895
157,0.010936621,0.041551775,,0.008578078,0.019612298,0.002669955
158,0.009433548,0.034631695,,0.007379785,0.01888133,0.002440418
159,0.009283247,0.041953089,,0.00679711,0.018040803,0.002172731
160,0.013951693,0.052938865,,0.00677419,inf,0.001920578
161,0.013814474,0.046368568,,0.005895019,0.024446847,0.001635775
162,0.015220535,inf,,0.006074995,0.021459445,0.001645179
163,0.006765954,inf,,0.005356274,0.011758825,0.00175149
164,0.004100859,0.03589409,,0.005897393,0.009108744,0.003024748
165,0.004206594,inf,,0.005404043,0.00807527,0.002941533
166,0.004571863,0.147794612,,0.006592075,0.008194836,0.002812073
167,0.004081515,0.035139223,,0.006185075,0.00604802,0.002724227
168,0.003031691,0.026487584,,0.008511129,0.006624935,0.00269608
169,0.003089268,0.028289316,,0.008378853,0.00653101,0.002615557
170,0.002782202,0.027938088,,0.007731162,0.006479648,0.002441796
171,0.002353417,0.031385197,,0.007683025,0.005366439,0.002284129
172,0.001924163,0.03600069,,0.007560881,0.002682609,0.002127064
173,0.00144179,0.040241141,,0.007218461,0.002419668,0.002035092
174,0.001453483,inf,,0.007075087,0.002747954,0.001872819
175,0.001344453,0.021655507,,0.006951734,0.00254661,0.001718503
176,0.001204919,0.018525397,,0.00658568,0.002235588,0.001569389
177,0.001069471,0.023501927,,0.006778822,0.002012943,0.001436002
178,0.00092599,0.01615306,,0.00615335,0.001736236,0.001286113
179,0.000788856,0.008671517,,0.005685101,0.001468365,0.001123168
180,0.000655727,0.011752763,,0.005445909,0.001195319,0.001912197
181,0.00103494,0.007617647,,0.005062918,0.001211825,0.001837881
182,0.000967813,0.004863093,,0.004522047,0.001495712,0.001763784
183,0.000901015,0.005633373,,0.004149518,0.001358334,0.001666025
184,0.000825105,0.004536967,,0.003859074,0.002455535,0.0015787
185,0.000748681,0.006191514,,0.00353656,0.002277671,0.001485182
186,0.0006742,0.005398897,,0.006595424,0.002129248,0.001391755
187,0.000599166,0.005419725,,0.006244714,0.001961063,0.001249736
188,0.000512846,0.008263264,,0.005874955,0.001830975,0.001162586
189,0.000423352,0.021268741,,0.005689665,0.001632092,0.001071983
190,0.00033786,0.012524359,,0.005269916,0.001451625,0.000988193
191,0.000255665,0.007454832,,0.004733054,0.00129699,0.000901648
192,0.000173341,0.003569197,,0.004426718,0.00113794,0.000818322
193,8.59E-05,0.001993326,,0.003875232,0.000971065,0.000727906
194,,0.000618842,,0.00334399,0.000813296,0.000661746
195,,,,0.002843046,0.000649308,0.000561435
196,,,,0.002459382,0.000487129,0.000465863
197,,,,0.001998334,0.000329394,0.000373237
198,,,,0.001530925,0.00016705,0.000279281
199,,,,0.001008726,,0.000185591
200,,,,0.000515105,,9.32E-05
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
